id,Distance,Zb,Nonuniform,Unsteady Collacated,Unsteady Staggered
7204,3602.0,9.09381432616876,2.7856936879517873,3.0575142408097102,2.949488054956538
7205,3602.5,8.981079456553818,2.9843881806167065,3.1640257399439227,3.0844307016113506
7206,3603.0,9.004515120948858,2.9478740564282866,3.14903148641763,3.062009332706545
7207,3603.5,8.973236624574692,3.0009125593148265,3.1559601610176253,3.084131832004092
7208,3604.0,9.02988084555423,2.909202950046483,3.08392396851296,3.0053473131424915
7209,3604.5,9.089369052201944,2.8058476818985003,3.0610341370648855,2.957615453685256
7210,3605.0,8.989113233890823,2.9815421890461744,3.132880488118661,3.0622254728828944
7211,3605.5,9.077670472927386,2.832112557979753,3.073312119921643,2.974267547814946
7212,3606.0,9.024558628829707,2.9272107723224745,3.154242667972026,3.059261056629245
7213,3606.5,8.956280802180052,3.0400508107701856,3.2266839519891426,3.144280992564172
7214,3607.0,8.91975246894621,3.0981683247739387,3.2062216933261047,3.151318787333022
7215,3607.5,9.076508982293683,2.8428666209213738,3.060319027012361,2.96876989038839
7216,3608.0,9.074533591485553,2.8488835376251633,3.1011539653671245,2.9989512901121316
7217,3608.5,8.979226500055127,3.011507369874218,3.1957360765042533,3.1149526440756166
7218,3609.0,8.972884284662866,3.0234002358964647,3.1795926913358623,3.1084602317265713
7219,3609.5,9.043444050852775,2.909478290019723,3.126495963134735,3.0350498956643173
7220,3610.0,8.997232543509588,2.988285845632879,3.163572397553355,3.0858234852011397
7221,3610.5,9.03030594902053,2.9358122156206137,3.143029272046847,3.054402749934274
7222,3611.0,8.987163018311728,3.0083515715325375,3.159121162210066,3.089164895817647
7223,3611.5,9.052785750367724,2.901775928015621,3.082060047760091,3.0022345793327916
7224,3612.0,9.099983722712846,2.820517460320235,3.0661576341861823,2.9665781968126543
7225,3612.5,9.04438622525214,2.9206978291789745,3.1544956560642765,3.057897906304878
7226,3613.0,8.951604596175018,3.072168205167305,3.228833323884559,3.157836110319981
7227,3613.5,8.992162614101348,3.0102473266169585,3.1627381624562227,3.093202178940915
7228,3614.0,9.079245942548692,2.866538561413449,3.1115095963667936,3.0116899807572017
7229,3614.5,8.981748292335439,3.0307158368930116,3.1910214286470566,3.1190554563234105
